,county_fips_code,county_name,date,confirmed_cases,deaths,total_pop,male_pop,female_pop,median_income,median_rent,poverty,employed_pop,unemployed_pop,worked_at_home,walked_to_work,different_house_year_ago_different_city,different_house_year_ago_same_city
2603,48197,Hardeman ,2021-01-19,319,9,3990.0,1950.0,2040.0,37995.0,364.0,548.0,1695.0,121.0,0.0,9.0,240.0,158.0
2604,48151,Fisher ,2021-01-19,266,10,3875.0,1867.0,2008.0,45294.0,396.0,666.0,1728.0,102.0,60.0,56.0,257.0,127.0
2605,48357,Ochiltree ,2021-01-19,965,19,10484.0,5353.0,5131.0,50120.0,552.0,1351.0,4679.0,386.0,51.0,90.0,376.0,639.0
2606,48127,Dimmit ,2021-01-19,904,13,10822.0,5284.0,5538.0,31384.0,517.0,3237.0,3805.0,671.0,251.0,115.0,712.0,128.0
2607,48369,Parmer ,2021-01-19,1113,32,9871.0,5065.0,4806.0,50410.0,508.0,1676.0,4411.0,126.0,125.0,72.0,905.0,361.0
2608,48489,Willacy ,2021-01-19,1970,69,21839.0,11821.0,10018.0,29104.0,385.0,7157.0,6415.0,1087.0,181.0,315.0,1586.0,433.0
2609,48295,Lipscomb ,2021-01-19,248,10,3495.0,1880.0,1615.0,59583.0,525.0,361.0,1653.0,91.0,41.0,55.0,275.0,84.0
2610,48185,Grimes ,2021-01-19,1889,52,27358.0,15070.0,12288.0,49745.0,454.0,4444.0,10403.0,607.0,399.0,149.0,2916.0,760.0
2611,48077,Clay ,2021-01-19,874,13,10369.0,5184.0,5185.0,46863.0,461.0,1539.0,4373.0,337.0,191.0,108.0,1032.0,311.0
2612,48171,Gillespie ,2021-01-19,1830,32,25939.0,12655.0,13284.0,56267.0,724.0,3175.0,11800.0,620.0,724.0,513.0,1890.0,862.0
2613,48065,Carson ,2021-01-19,331,11,6033.0,2888.0,3145.0,67010.0,567.0,381.0,2896.0,57.0,92.0,6.0,629.0,78.0
2614,48145,Falls ,2021-01-19,1308,22,17289.0,8135.0,9154.0,38834.0,366.0,3917.0,5774.0,372.0,183.0,212.0,1819.0,181.0
2615,48475,Ward ,2021-01-19,953,13,11498.0,5790.0,5708.0,63333.0,592.0,1313.0,4823.0,312.0,195.0,70.0,1170.0,629.0
2616,48131,Duval ,2021-01-19,1058,32,11434.0,5891.0,5543.0,35443.0,416.0,2731.0,3950.0,622.0,238.0,121.0,1233.0,812.0
2617,48009,Archer ,2021-01-19,694,10,8793.0,4335.0,4458.0,63192.0,444.0,769.0,4344.0,133.0,200.0,41.0,551.0,260.0
2618,48177,Gonzales ,2021-01-19,1962,29,20558.0,10400.0,10158.0,47516.0,476.0,3469.0,8939.0,480.0,275.0,200.0,1482.0,1107.0
2619,48119,Delta ,2021-01-19,213,5,5172.0,2552.0,2620.0,42642.0,417.0,1168.0,1980.0,135.0,28.0,45.0,689.0,148.0
2620,48499,Wood ,2021-01-19,2553,85,43315.0,21523.0,21792.0,48038.0,556.0,5580.0,15960.0,1343.0,873.0,391.0,5344.0,736.0
2621,48415,Scurry ,2021-01-19,2270,46,17346.0,9446.0,7900.0,54565.0,616.0,1988.0,6772.0,327.0,108.0,69.0,1665.0,565.0
2622,48095,Concho ,2021-01-19,245,4,3858.0,2622.0,1236.0,46696.0,425.0,221.0,1023.0,4.0,52.0,36.0,402.0,5.0
2623,48481,Wharton ,2021-01-19,2988,84,41430.0,20355.0,21075.0,50145.0,555.0,7122.0,18767.0,1044.0,503.0,97.0,1969.0,1563.0
2624,48169,Garza ,2021-01-19,278,18,6739.0,4369.0,2370.0,53832.0,480.0,646.0,2445.0,49.0,3.0,47.0,1535.0,330.0
2625,48063,Camp ,2021-01-19,969,32,12670.0,6215.0,6455.0,41811.0,521.0,2191.0,5274.0,344.0,187.0,6.0,862.0,298.0
2626,48353,Nolan ,2021-01-19,1399,38,14990.0,7629.0,7361.0,42019.0,466.0,2445.0,6316.0,483.0,94.0,164.0,1715.0,774.0
2627,48429,Stephens ,2021-01-19,629,19,9365.0,4826.0,4539.0,45862.0,406.0,1870.0,3730.0,182.0,84.0,55.0,1206.0,386.0
2628,48229,Hudspeth ,2021-01-19,466,8,3702.0,1841.0,1861.0,26346.0,336.0,1109.0,1083.0,66.0,105.0,41.0,248.0,110.0
2629,48133,Eastland ,2021-01-19,972,23,18278.0,9337.0,8941.0,32135.0,359.0,3023.0,6910.0,419.0,47.0,175.0,1763.0,590.0
2630,48239,Jackson ,2021-01-19,1284,23,14756.0,7214.0,7542.0,58504.0,611.0,1962.0,6760.0,332.0,283.0,98.0,1331.0,672.0
2631,48455,Trinity ,2021-01-19,503,12,14481.0,6959.0,7522.0,37398.0,503.0,2643.0,4946.0,562.0,237.0,84.0,1442.0,296.0
2632,48015,Austin ,2021-01-19,1404,18,29292.0,14474.0,14818.0,62614.0,628.0,3891.0,13509.0,773.0,610.0,253.0,2972.0,532.0
2633,48031,Blanco ,2021-01-19,318,11,11089.0,5576.0,5513.0,58500.0,642.0,1180.0,5106.0,308.0,454.0,151.0,919.0,367.0
2634,48279,Lamb ,2021-01-19,1799,73,13368.0,6832.0,6536.0,43712.0,395.0,2686.0,5671.0,210.0,198.0,109.0,1524.0,780.0
2635,48161,Freestone ,2021-01-19,988,30,19646.0,10224.0,9422.0,45890.0,484.0,3122.0,7422.0,326.0,198.0,118.0,2675.0,352.0
2636,48115,Dawson ,2021-01-19,1575,59,13095.0,7274.0,5821.0,43201.0,427.0,2078.0,4968.0,355.0,139.0,110.0,1567.0,1262.0
2637,48163,Frio ,2021-01-19,2148,24,19110.0,11363.0,7747.0,37382.0,541.0,3227.0,6859.0,544.0,152.0,91.0,1272.0,408.0
2638,48233,Hutchinson ,2021-01-19,1253,57,21704.0,10838.0,10866.0,50035.0,516.0,3541.0,9149.0,501.0,131.0,94.0,1821.0,663.0
2639,48067,Cass ,2021-01-19,1499,59,30118.0,14599.0,15519.0,41432.0,420.0,5471.0,11991.0,941.0,237.0,71.0,2074.0,451.0
2640,48287,Lee ,2021-01-19,1182,34,16850.0,8476.0,8374.0,55741.0,598.0,2251.0,7894.0,372.0,518.0,122.0,1918.0,352.0
2641,48389,Reeves ,2021-01-19,1522,33,14791.0,8938.0,5853.0,49390.0,604.0,1617.0,5140.0,448.0,146.0,95.0,1634.0,281.0
2642,48147,Fannin ,2021-01-19,2439,66,33787.0,17846.0,15941.0,47875.0,520.0,4580.0,13407.0,731.0,727.0,222.0,5362.0,1021.0
2643,48227,Howard ,2021-01-19,4196,79,36491.0,20588.0,15903.0,50855.0,613.0,4344.0,14393.0,1031.0,154.0,190.0,3438.0,1941.0
2644,48091,Comal ,2021-01-19,7314,190,129100.0,63732.0,65368.0,73655.0,892.0,11827.0,59833.0,2354.0,4480.0,939.0,13391.0,4687.0
